"study","n0","mu0","sd0","n1","mu1","sd1","y.cohen","s2.cohen","y.hedges","s2.hedges","cohen.dl.theta","hedges.dl.theta"
"Study17",16,-0.833747435701467,3.31652076356113,16,-0.170443282989241,3.31652076356113,0.118616465365962,0.125234497764265,0.115626134306316,0.125208896920853,0.157325779659878,0.154288667145284
"Study18",19,-0.588187422619948,4.50099970120937,19,0.312012517621925,4.50099970120937,0.288197878778527,0.106416741468799,0.282151769433523,0.106310652907822,0.157325779659878,0.154288667145284
"Study19",16,-0.183492772001156,2.99164428003132,16,0.414836084005109,2.99164428003132,0.0626081639092747,0.125065329703135,0.0610298068359316,0.125058197458163,0.157325779659878,0.154288667145284
"Study20",16,0.742921868668801,1.13448258209974,16,0.969818385088749,1.13448258209974,-0.177514525133331,0.125525190110555,-0.173039369037533,0.125467853488077,0.157325779659878,0.154288667145284
"Study21",15,0.555556293583612,1.3071962101385,15,0.816995535611312,1.3071962101385,0.19834394576392,0.134035839062283,0.192983298581112,0.133954042558854,0.157325779659878,0.154288667145284
"Study22",18,0.320382166839087,4.40641608368605,18,1.2016653835763,4.40641608368605,0.661824707597465,0.117552463222677,0.647117491873077,0.116927236781779,0.157325779659878,0.154288667145284
"Study23",16,0.0842740194423153,1.26682508178055,15,0.337639035798426,1.26682508178055,-0.0404966109790921,0.129194942106335,-0.0394401776492028,0.129191755821715,0.157325779659878,0.154288667145284
"Study24",23,-1.04979186611688,2.0495581002906,23,-0.63988024605876,2.0495581002906,0.483336419190187,0.0896112273540803,0.475050652004069,0.0894094904561901,0.157325779659878,0.154288667145284
"Study25",19,0.816070861235789,4.21330517344177,18,1.65873189592414,4.21330517344177,0.45143706140167,0.111098497651595,0.441693815472138,0.110823532160037,0.157325779659878,0.154288667145284
"Study26",19,0.924139286101788,4.15037466958165,18,1.75421422001812,4.15037466958165,0.181631718569668,0.108658421377075,0.17771160953579,0.108613910397029,0.157325779659878,0.154288667145284
"Study27",23,2.04769121484878,3.88195223454386,22,2.82408166175756,3.88195223454386,0.551427565188468,0.0924685314363163,0.541753397378144,0.0921938812526747,0.157325779659878,0.154288667145284
"Study28",22,0.994455909979703,2.85197972413152,22,1.56485185480601,2.85197972413152,0.474748879527074,0.0935922635116172,0.466220456541558,0.0933791081147479,0.157325779659878,0.154288667145284
"Study29",23,0.569380722059656,1.21117028500885,23,0.811614779061426,1.21117028500885,-0.528876324064111,0.0901350463545346,-0.51980987279444,0.0898935033027671,0.157325779659878,0.154288667145284
"Study30",18,0.103766046581868,1.70274666231126,17,0.444315379044119,1.70274666231126,-0.0109994251456518,0.11438091810904,-0.0107475299133086,0.114380735101595,0.157325779659878,0.154288667145284
"Study31",15,-1.55567430196683,1.57869101781398,15,-1.23993609840403,1.57869101781398,0.435445759435527,0.136719279929947,0.423676955126458,0.13632503603842,0.157325779659878,0.154288667145284
"Study32",16,0.0322201437356007,4.78835182450712,16,0.989890508637024,4.78835182450712,0.610765768575303,0.131217247067723,0.595368312224665,0.130538491050019,0.157325779659878,0.154288667145284
"Study33",21,0.785856919306975,3.11739135347307,21,1.40933519000159,3.11739135347307,-0.458349469359599,0.0978641481888731,-0.449701366164135,0.0976456109372606,0.157325779659878,0.154288667145284
"Study34",15,1.61098012198447,4.02373934630305,15,2.41572799124508,4.02373934630305,0.134995606951642,0.133658758581481,0.13134707703403,0.133620867577423,0.157325779659878,0.154288667145284
"Study35",24,-0.396770027342833,3.61618137918413,24,0.326466248493992,3.61618137918413,0.504694217077532,0.0861019882545453,0.496420541387736,0.0859003474365801,0.157325779659878,0.154288667145284
"Study36",23,-2.16139518133016,1.47121554240584,23,-1.86715207284899,1.47121554240584,0.558971400636906,0.0905070788610621,0.549389033768844,0.090237264243755,0.157325779659878,0.154288667145284
"Study37",21,1.72720493926102,3.58792084082961,21,2.44478910742694,3.58792084082961,0.377956485390206,0.0970237340487017,0.370825230948881,0.0968751351417654,0.157325779659878,0.154288667145284
"Study38",23,0.802286523365279,2.69860193971545,22,1.34200691130837,2.69860193971545,0.267377501128437,0.0897640938602698,0.262686667775306,0.0896995206066317,0.157325779659878,0.154288667145284
"Study39",18,-0.163594285537389,4.09724004007876,18,0.655853722478363,4.09724004007876,-0.0663198600502997,0.11117579234401,-0.0648460853825153,0.111169514094298,0.157325779659878,0.154288667145284
"Study40",20,0.193465796213646,4.96799173951149,19,1.18706414411594,4.96799173951149,0.380080808233727,0.104583760309363,0.372324057045284,0.104408825145505,0.157325779659878,0.154288667145284
"Study41",17,-0.417273691720545,2.78491091076285,16,0.139708490432024,2.78491091076285,0.377262849711747,0.123619130343581,0.368061316791949,0.123376092031744,0.157325779659878,0.154288667145284
"Study42",16,-0.959165820697319,4.02093702275306,15,-0.154978416146707,4.02093702275306,-0.350077537061003,0.131279671527955,-0.340945079572455,0.131041562590613,0.157325779659878,0.154288667145284
"Study43",19,-0.690177276796034,3.7166748708114,18,0.0531576973662463,3.7166748708114,-0.701286799466937,0.115212894147304,-0.686151113147507,0.11454934193635,0.157325779659878,0.154288667145284
"Study44",16,-0.813333429598472,2.44271721597761,15,-0.324789986402951,2.44271721597761,0.537207035418822,0.134142380440865,0.523192938842679,0.133581680396583,0.157325779659878,0.154288667145284
"Study45",19,0.134298450315176,1.70303709898144,19,0.474905870111464,1.70303709898144,0.429264237500568,0.107822432694694,0.4202586940565,0.107587070656975,0.157325779659878,0.154288667145284
"Study46",22,-2.10819644169937,1.14106985274702,21,-1.87998247114996,1.14106985274702,-0.404867847681369,0.0950725927575704,-0.397416292202571,0.094910101321361,0.157325779659878,0.154288667145284
"Study47",22,0.328715350307656,3.48277588468045,21,1.02527052724375,3.48277588468045,-0.0765748781477256,0.0931451017560728,-0.0751655245621847,0.0931392890745548,0.157325779659878,0.154288667145284
"Study48",22,0.918243253796422,1.79139337129891,21,1.2765219280562,1.79139337129891,-0.144421289124684,0.0933279529364276,-0.141763228588647,0.0933072769454521,0.157325779659878,0.154288667145284
"Study49",20,0.525346148250064,4.91641956660897,20,1.50863006157186,4.91641956660897,0.172418142683343,0.100391158104294,0.168992616669766,0.100356981306111,0.157325779659878,0.154288667145284
"Study50",15,-0.975329236280591,2.71939928084612,15,-0.431449380111367,2.71939928084612,-0.0811324651483328,0.133450877563709,-0.0789396958199994,0.133437191259603,0.157325779659878,0.154288667145284
